Date,Mortgage Rate,Interest Rate
1992-03-01,10.06,7.65
1992-04-01,10.37,6.85
1992-05-01,10.14,6.5
1992-06-01,9.72,5.91
1992-07-01,9.26,5.5
1992-08-01,8.72,5.11
1992-09-01,8.54,5.69
1992-10-01,9.23,7.37
1992-11-01,9.33,8.82
1992-12-01,9.48,7.36
1993-01-01,9.47,6.81
1993-02-01,9.44,6.09
1993-03-01,8.97,5.36
1993-04-01,8.89,5.6
1993-05-01,8.88,5.1
1993-06-01,8.86,4.79
1993-07-01,8.68,4.41
1993-08-01,8.58,4.9
1993-09-01,8.57,4.9
1993-10-01,8.55,4.63
1993-11-01,7.84,4.36
1993-12-01,7.71,4.11
1994-01-01,7.33,3.88
1994-02-01,7.2,4.1
1994-03-01,7.89,5.64
1994-04-01,9.43,6.07
1994-05-01,9.48,6.31
1994-06-01,9.8,6.92
1994-07-01,10.69,6.04
1994-08-01,10.33,5.6
1994-09-01,10.01,5.54
1994-10-01,9.84,5.62
1994-11-01,9.85,6.04
1994-12-01,10.25,7.43
1995-01-01,10.6,8.38
1995-02-01,10.48,8.38
1995-03-01,9.93,8.47
1995-04-01,9.66,8.17
1995-05-01,8.98,7.64
1995-06-01,8.67,6.97
1995-07-01,8.54,6.87
1995-08-01,8.94,6.59
1995-09-01,8.95,6.71
1995-10-01,8.75,7.65
1995-11-01,8.66,6.07
1995-12-01,8.46,5.79
1996-01-01,8.02,5.37
1996-02-01,7.79,5.5
1996-03-01,8.16,5.25
1996-04-01,8.48,5.0
1996-05-01,8.47,5.0
1996-06-01,8.48,5.0
1996-07-01,8.48,4.75
1996-08-01,8.01,4.25
1996-09-01,7.94,4.25
1996-10-01,7.5,3.5
1996-11-01,7.01,3.25
1996-12-01,6.94,3.25
1997-01-01,7.14,3.25
1997-02-01,7.12,3.25
1997-03-01,7.06,3.25
1997-04-01,7.56,3.25
1997-05-01,7.46,3.25
1997-06-01,7.22,3.25
1997-07-01,6.98,3.5
1997-08-01,7.0,3.5
1997-09-01,6.96,3.5
1997-10-01,6.73,3.75
1997-11-01,6.69,4.0
1997-12-01,6.9,4.5
1998-01-01,6.9,4.5
1998-02-01,6.84,5.0
1998-03-01,6.84,5.0
1998-04-01,6.79,5.0
1998-05-01,6.92,5.0
1998-06-01,6.9,5.0
1998-07-01,6.9,5.0
1998-08-01,7.08,5.0
1998-09-01,7.32,5.75
1998-10-01,6.73,5.5
1998-11-01,6.94,5.25
1998-12-01,6.69,5.25
1999-01-01,6.79,5.25
1999-02-01,6.79,5.25
1999-03-01,7.03,5.0
1999-04-01,6.71,5.0
1999-05-01,6.99,4.75
1999-06-01,7.35,4.75
1999-07-01,7.42,4.75
1999-08-01,7.8,4.75
1999-09-01,7.67,4.75
1999-10-01,7.9,4.75
1999-11-01,8.13,5.0
1999-12-01,8.13,5.0
2000-01-01,8.34,5.0
2000-02-01,8.43,5.25
2000-03-01,8.24,5.5
2000-04-01,8.23,5.5
2000-05-01,8.5,6.0
2000-06-01,8.34,6.0
2000-07-01,8.18,6.0
2000-08-01,8.08,6.0
2000-09-01,8.08,6.0
2000-10-01,8.08,6.0
2000-11-01,8.04,6.0
2000-12-01,7.81,6.0
2001-01-01,7.58,5.75
2001-02-01,7.52,5.75
2001-03-01,7.19,5.25
2001-04-01,7.22,5.0
2001-05-01,7.38,4.75
2001-06-01,7.47,4.75
2001-07-01,7.46,4.5
2001-08-01,7.39,4.25
2001-09-01,7.03,3.75
2001-10-01,6.74,3.0
2001-11-01,6.51,2.5
2001-12-01,6.64,2.5
2002-01-01,6.62,2.25
2002-02-01,6.59,2.25
2002-03-01,6.8,2.25
2002-04-01,7.0,2.5
2002-05-01,7.0,2.5
2002-06-01,6.98,2.75
2002-07-01,6.9,3.0
2002-08-01,6.61,3.0
2002-09-01,6.49,3.0
2002-10-01,6.5,3.0
2002-11-01,6.47,3.0
2002-12-01,6.39,3.0
2003-01-01,6.26,3.0
2003-02-01,6.29,3.0
2003-03-01,6.33,3.25
2003-04-01,6.44,3.5
2003-05-01,6.1,3.5
2003-06-01,5.62,3.5
2003-07-01,5.71,3.25
2003-08-01,5.87,3.25
2003-09-01,5.97,3.0
2003-10-01,5.83,3.0
2003-11-01,6.02,3.0
2003-12-01,6.0,3.0
2004-01-01,5.78,2.75
2004-02-01,5.51,2.75
2004-03-01,5.31,2.5
2004-04-01,5.56,2.25
2004-05-01,5.82,2.25
2004-06-01,6.06,2.25
2004-07-01,6.1,2.25
2004-08-01,5.97,2.25
2004-09-01,5.94,2.5
2004-10-01,5.95,2.75
2004-11-01,5.87,2.75
2004-12-01,5.69,2.75
2005-01-01,5.6,2.75
2005-02-01,5.59,2.75
2005-03-01,5.6,2.75
2005-04-01,5.67,2.75
2005-05-01,5.55,2.75
2005-06-01,5.31,2.75
2005-07-01,5.26,2.75
2005-08-01,5.32,2.75
2005-09-01,5.3,3.0
2005-10-01,5.39,3.25
2005-11-01,5.56,3.25
